,0,1,2,3,4,5
63,11434020,"Yogurt, Greek, nonfat milk, fruit","0% fat; fat free; light; light, NFS",1,1822,"Yogurt, Greek"
64,11434090,"Yogurt, NS as to type of milk, flavors other than fruit",,2,1820,"Yogurt, regular"
65,11434100,"Yogurt, whole milk, flavors other than fruit",,2,1820,"Yogurt, regular"
66,11434200,"Yogurt, low fat milk, flavors other than fruit",1% fat; 2% fat; 99% fat free; light; Go-Gurt Portable Yogurt tube,2,1820,"Yogurt, regular"
67,23340100,"Armadillo, cooked",,,2008,"Lamb, goat, game"
68,11434300,"Yogurt, nonfat milk, flavors other than fruit","0% fat; fat free; light; light, NFS",2,1820,"Yogurt, regular"
69,11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,1,1822,"Yogurt, Greek"
70,11435010,"Yogurt, Greek, whole milk, flavors other than fruit",,2,1822,"Yogurt, Greek"
71,11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1% fat; 2% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes,1,1822,"Yogurt, Greek"
72,11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",0% fat; fat free,1,1822,"Yogurt, Greek"
73,11435100,"Yogurt, Greek, with oats",all types; with granola,1,1822,"Yogurt, Greek"
74,11436000,"Yogurt, liquid",all types and flavors,2,1820,"Yogurt, regular"
75,11440010,"Chipotle dip, yogurt based",jalapeno dip; Southwest dip; greek yogurt based; regular or light,,8412,"Dips, gravies, other sauces"
76,11440020,"Dill dip, yogurt based",cucumber dill dip; greek yogurt based; regular or light,,8412,"Dips, gravies, other sauces"
77,11440030,"Onion dip, yogurt based",French onion dip; toasted onion dip; green onion dip; greek yogurt based; regular or light,2a,8412,"Dips, gravies, other sauces"
78,11440040,"Ranch dip, yogurt based",greek yogurt based; regular or light,,8412,"Dips, gravies, other sauces"
79,11440050,"Spinach dip, yogurt based",greek yogurt based; regular or light,2a,8412,"Dips, gravies, other sauces"
80,11440060,Tzatziki dip,Greek dip,,8412,"Dips, gravies, other sauces"
81,11440070,"Vegetable dip, yogurt based",greek yogurt based; regular or light,,8412,"Dips, gravies, other sauces"
82,11446000,"Yogurt parfait, low fat, with fruit",McDonald's Fruit 'n Yogurt Parfait; with granola,1,1820,"Yogurt, regular"
83,11459990,"Yogurt, frozen, NS as to flavor, NS as to type of milk",,,5802,Ice cream and frozen dairy desserts
84,11460000,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk","yogurt, frozen, flavors with partial chocolate base, NS as to type of milk",,5802,Ice cream and frozen dairy desserts
85,11460100,"Yogurt, frozen, chocolate, NS as to type of milk",,,5802,Ice cream and frozen dairy desserts
86,11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",,,5802,Ice cream and frozen dairy desserts
87,11460160,"Yogurt, frozen, chocolate, lowfat milk",,,5802,Ice cream and frozen dairy desserts
88,11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",,,5802,Ice cream and frozen dairy desserts
89,11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",,,5802,Ice cream and frozen dairy desserts
90,11460200,"Yogurt, frozen, chocolate, nonfat milk",,,5802,Ice cream and frozen dairy desserts
